track_id,craft_id,vessel_class,year,month,start_ts,end_ts,n_points,track_duration_min,mean_speed,max_speed,mean_turn_rate,dist_nm
2018CargoApr1,2111929706.0,cargo,2018,Apr,2018-04-07 11:48:51,2018-04-10 21:15:57,74,4887.1,15.23243243243243,16.4,0.0004520949060809197,1252.059423468446
2018CargoApr10,2098282982.0,cargo,2018,Apr,2018-04-14 23:39:42,2018-04-15 12:24:00,13,764.3,19.200000000000003,20.7,0.0035730235682836548,247.30071710452788
2018CargoApr100,33710375.0,cargo,2018,Apr,2018-04-12 22:00:56,2018-04-17 17:28:56,110,6928.0,11.147272727272728,13.6,0.0007013283153943963,1291.1665000517726
2018CargoApr101,51666898.0,cargo,2018,Apr,2018-04-04 03:34:32,2018-04-08 03:04:02,90,5729.5,12.884444444444446,14.2,0.0008274833879491662,1238.2317663741928
2018CargoApr102,56660617.0,cargo,2018,Apr,2018-04-06 02:28:02,2018-04-10 15:18:50,100,6530.8,9.7255,11.7,0.002027147638590756,1075.4927201666028
2018CargoApr103,56660617.0,cargo,2018,Apr,2018-04-16 17:17:56,2018-04-21 07:39:46,101,6621.833333333333,9.94009900990099,11.2,0.0006852508690944088,1102.4772634990175
2018CargoApr104,62935715.0,cargo,2018,Apr,2018-04-20 21:50:06,2018-04-23 10:43:48,55,3653.7,12.562727272727274,13.8,0.0010052054041214467,767.0260876057654
2018CargoApr105,68372833.0,cargo,2018,Apr,2018-04-12 14:29:36,2018-04-16 21:11:19,96,6161.716666666666,11.318229166666669,15.2,0.0009310494767260811,1169.6976828787588
2018CargoApr106,68372833.0,cargo,2018,Apr,2018-04-19 12:08:08,2018-04-20 10:26:09,22,1338.0166666666667,12.227272727272727,13.3,0.0050001118347415986,275.73632611233484
2018CargoApr107,68372833.0,cargo,2018,Apr,2018-04-21 04:43:38,2018-04-23 00:20:32,39,2616.9,10.757692307692306,12.7,0.00235278697039767,479.7386488187339
2018CargoApr108,69024927.0,cargo,2018,Apr,2018-04-15 20:18:59,2018-04-17 13:32:18,40,2473.3166666666666,11.5275,14.4,0.002320177069591389,478.5965723092228
2018CargoApr109,69024927.0,cargo,2018,Apr,2018-04-19 15:15:39,2018-04-21 01:55:14,34,2079.5833333333335,11.98235294117647,13.4,0.002628984530918378,417.8737307086168
